Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	SpliceSite	StopGain	StopLoss	Mis_mpc2	Mis_mpc2_and_MetaSVM	Mis_mpc2_or_MetaSVM
10	ALOX5	4.5366E-05	1.3647E-05	4.04152E-06	2.29109E-06	2.76774E-05	1.30204E-05	2.49423E-05	2.24541E-05	2.50056E-05	2.26592E-05	8.7239E-07	1.40035E-06	1.835E-08	0	0	1.30204E-05
10	ANAPC16	4.95008E-06	1.3276E-06	4.48287E-07	2.72697E-07	3.1742E-06	0	3.1191E-06	2.77949E-06	3.1191E-06	2.77949E-06	1.1173E-07	1.40472E-07	2.0495E-08	0	0	0
10	ANK3	0.000193302	5.39225E-05	1.5907E-05	8.2669E-06	0.000123473	1.78244E-05	9.79953E-05	8.84978E-05	9.80111E-05	8.85691E-05	2.13921E-06	6.11208E-06	1.561E-08	1.04093E-06	5.41884E-07	1.83235E-05
10	ANKRD1	1.56059E-05	4.30561E-06	1.75867E-06	9.91821E-07	9.54163E-06	1.07626E-06	8.22429E-06	7.58905E-06	8.22429E-06	7.59102E-06	3.59932E-07	6.13479E-07	1.841E-08	0	0	1.07626E-06
10	ANKRD16	2.19774E-05	6.46293E-06	2.14992E-06	1.15313E-06	1.33646E-05	2.16478E-06	9.61523E-06	8.13653E-06	9.61523E-06	8.1442E-06	3.18388E-07	7.9743E-07	3.731E-08	0	0	2.16478E-06
10	ANKRD2	2.64071E-05	7.83395E-06	2.31536E-06	1.31324E-06	1.62578E-05	1.33719E-06	1.15617E-05	9.86714E-06	1.1573E-05	9.8961E-06	4.9236E-07	8.017E-07	1.9175E-08	0	0	1.33719E-06
10	ANKRD22	8.75648E-06	2.20339E-06	1.15912E-06	6.50758E-07	5.39398E-06	6.7171E-07	3.94074E-06	3.3098E-06	3.94074E-06	3.31367E-06	2.29092E-07	4.06686E-07	1.498E-08	0	0	6.7171E-07
10	ANKRD26	6.43419E-05	1.65424E-05	7.75897E-06	4.28307E-06	4.00405E-05	1.30126E-06	1.92936E-05	1.54185E-05	1.9318E-05	1.54561E-05	1.48403E-06	2.78072E-06	1.832E-08	0	0	1.30126E-06
10	ANKRD30A	5.11231E-05	1.33049E-05	5.6505E-06	3.37166E-06	3.21677E-05	3.74363E-07	9.76421E-06	6.06929E-06	9.77811E-06	6.09917E-06	1.52305E-06	1.82307E-06	2.554E-08	0	0	3.74363E-07
10	ANTXRL	2.87039E-05	7.97717E-06	2.3073E-06	1.4964E-06	1.84194E-05	0	8.7825E-06	6.03239E-06	8.7825E-06	6.03239E-06	8.3415E-07	6.48722E-07	1.3526E-08	0	0	0
10	ANXA11	2.85219E-05	8.15959E-06	2.65925E-06	1.61251E-06	1.7703E-05	4.0719E-07	1.54361E-05	1.36921E-05	1.54361E-05	1.36921E-05	7.56804E-07	8.37389E-07	1.832E-08	0	0	4.0719E-07
10	ANXA7	2.18358E-05	4.77702E-06	3.11302E-06	1.70943E-06	1.39458E-05	1.03E-09	1.23161E-05	1.10326E-05	1.23161E-05	1.10326E-05	5.65754E-07	1.12287E-06	2.0806E-08	0	0	1.03E-09
10	ANXA8	3.64804E-05	1.09785E-05	2.80613E-06	1.83027E-06	2.26958E-05	0	1.74474E-05	1.51741E-05	1.74474E-05	1.51741E-05	1.01282E-06	7.80689E-07	3.676E-08	0	0	0
10	ANXA8L1	1.83419E-05	5.53248E-06	1.38856E-06	9.087E-07	1.14208E-05	1.06E-09	8.20209E-06	7.0027E-06	8.20209E-06	7.0027E-06	5.0646E-07	3.8389E-07	1.835E-08	5.5257E-06	1.06E-09	5.5257E-06
10	AP3M1	1.76746E-05	4.3413E-06	1.66443E-06	9.4054E-07	1.16688E-05	2.71268E-06	1.06183E-05	9.45491E-06	1.06183E-05	9.49085E-06	3.35832E-07	5.79108E-07	2.56E-08	0	0	2.71268E-06
10	APBB1IP	3.61687E-05	1.18279E-05	2.43769E-06	1.41006E-06	2.19031E-05	1.97718E-06	1.57407E-05	1.42214E-05	1.57407E-05	1.42273E-05	5.683E-07	8.22106E-07	1.9656E-08	0	0	1.97718E-06
10	ARHGAP12	3.49826E-05	8.2512E-06	4.40896E-06	2.40703E-06	2.23225E-05	2.57076E-06	1.81434E-05	1.59356E-05	1.81498E-05	1.59574E-05	7.84742E-07	1.60154E-06	2.0747E-08	0	0	2.57076E-06
10	ARHGAP19	2.26128E-05	5.48128E-06	2.80315E-06	1.54667E-06	1.43284E-05	4.8042E-07	1.12369E-05	9.96714E-06	1.12369E-05	9.96714E-06	5.23174E-07	1.00518E-06	1.832E-08	0	0	4.8042E-07
10	ARHGAP21	8.8144E-05	2.28066E-05	1.00344E-05	5.13619E-06	5.53029E-05	3.77782E-06	3.85327E-05	3.48292E-05	3.85346E-05	3.4846E-05	1.20433E-06	3.9186E-06	1.326E-08	5.001E-06	6.3476E-07	8.14406E-06
10	ARHGAP22	5.04166E-05	1.59191E-05	2.82441E-06	1.54936E-06	3.16731E-05	2.39638E-06	2.1521E-05	1.92559E-05	2.1521E-05	1.92711E-05	4.95112E-07	1.02004E-06	3.42E-08	0	0	2.39638E-06
10	ARID5B	5.57235E-05	1.67646E-05	3.82785E-06	1.95499E-06	3.51311E-05	2.5015E-06	2.80379E-05	2.53696E-05	2.80379E-05	2.53716E-05	4.3597E-07	1.49828E-06	2.074E-08	4.82376E-06	1.24408E-06	6.08119E-06
10	ARL3	7.76616E-06	2.04379E-06	9.55822E-07	5.60741E-07	4.76654E-06	2.56665E-06	4.51137E-06	4.19491E-06	4.51137E-06	4.20159E-06	2.24556E-07	3.16065E-07	2.012E-08	3.837E-08	3.837E-08	2.56665E-06
10	ARL5B	7.38065E-06	1.61184E-06	1.20957E-06	6.75524E-07	4.55925E-06	2.21131E-06	4.20229E-06	3.82632E-06	4.20888E-06	3.84898E-06	2.2745E-07	4.27234E-07	2.084E-08	1.824E-07	1.787E-07	2.21501E-06
10	ARMC3	3.71956E-05	9.64072E-06	4.3188E-06	2.45188E-06	2.3236E-05	3.01933E-06	1.58244E-05	1.38908E-05	1.58244E-05	1.39042E-05	9.2519E-07	1.49354E-06	3.315E-08	0	0	3.01933E-06
10	ARMC4	4.70713E-05	1.18293E-05	4.17431E-06	2.35554E-06	3.10677E-05	8.63371E-06	2.05812E-05	1.84164E-05	2.06504E-05	1.86442E-05	8.7218E-07	1.45502E-06	2.8347E-08	1.26228E-06	1.89687E-07	9.70631E-06
10	ARMS2	4.47606E-06	1.23443E-06	4.46385E-07	2.37749E-07	2.79525E-06	0	3.355E-07	2.004E-08	3.355E-07	2.004E-08	4.804E-08	1.66909E-07	2.28E-08	0	0	0
10	AS3MT	1.58309E-05	4.20415E-06	1.35338E-06	8.60785E-07	1.02734E-05	2.6643E-07	7.92123E-06	6.68873E-06	7.92123E-06	6.68873E-06	4.5283E-07	3.94079E-07	1.3876E-08	0	0	2.6643E-07
10	ASAH2	3.30088E-05	8.2366E-06	3.92033E-06	2.29619E-06	2.08519E-05	3.60527E-06	1.54128E-05	1.3519E-05	1.54128E-05	1.3519E-05	9.76712E-07	1.29931E-06	2.0166E-08	1.41573E-05	2.92986E-06	1.48327E-05
10	ASAH2B	8.23898E-06	2.0257E-06	9.05497E-07	5.28204E-07	5.30778E-06	4.43811E-07	3.06973E-06	2.52606E-06	3.06973E-06	2.52606E-06	2.0629E-07	3.01834E-07	2.008E-08	0	0	4.43811E-07
10	ASB13	2.08815E-05	7.444E-06	1.10368E-06	6.24914E-07	1.23338E-05	2.22367E-06	1.07854E-05	9.4968E-06	1.07854E-05	9.50205E-06	2.2358E-07	3.83014E-07	1.832E-08	0	0	2.22367E-06
10	ASCC1	1.87288E-05	4.68338E-06	2.56757E-06	1.45602E-06	1.14779E-05	1.3489E-06	7.83185E-06	6.47362E-06	7.86473E-06	6.55893E-06	5.27076E-07	8.8924E-07	3.9706E-08	0	0	1.3489E-06
10	ATAD1	1.54057E-05	3.4687E-06	1.90852E-06	1.10601E-06	1.00285E-05	9.00206E-06	9.00821E-06	8.01547E-06	9.43588E-06	9.2174E-06	4.5106E-07	6.42009E-07	1.294E-08	1.35537E-07	1.35537E-07	9.00206E-06
10	ATE1	2.87818E-05	7.93705E-06	3.69174E-06	1.97066E-06	1.7153E-05	3.10128E-06	1.38995E-05	1.1285E-05	1.38995E-05	1.13222E-05	5.726E-07	1.37687E-06	2.119E-08	0	0	3.10128E-06
10	ATOH7	1.52798E-05	5.21683E-06	6.54096E-07	3.01646E-07	9.40887E-06	6.88201E-06	7.60417E-06	6.8397E-06	8.35474E-06	8.03033E-06	0	2.8196E-07	1.9686E-08	2.63211E-06	2.48343E-06	7.03069E-06
10	ATP5C1	1.35439E-05	3.56186E-06	1.72322E-06	1.00547E-06	8.25886E-06	2.55555E-06	6.72495E-06	5.7958E-06	6.72495E-06	5.7958E-06	4.0305E-07	5.74201E-07	2.822E-08	0	0	2.55555E-06
10	ATRNL1	5.89771E-05	1.50005E-05	7.28939E-06	4.08044E-06	3.66872E-05	3.69684E-06	3.23843E-05	2.87746E-05	3.23843E-05	2.87746E-05	1.49493E-06	2.56716E-06	1.835E-08	0	0	3.69684E-06
10	AVPI1	8.15172E-06	2.12934E-06	5.152E-07	2.7735E-07	5.50718E-06	0	4.60466E-06	4.2088E-06	4.60466E-06	4.2088E-06	6.486E-08	1.9028E-07	2.221E-08	0	0	0
10	BAG3	3.2306E-05	9.68156E-06	2.51854E-06	1.20807E-06	2.01059E-05	5.97157E-06	1.54983E-05	1.34615E-05	1.55166E-05	1.35457E-05	1.3887E-07	1.04837E-06	2.083E-08	0	0	5.97157E-06
10	BAMBI	1.29273E-05	3.5766E-06	1.31921E-06	6.5305E-07	8.03153E-06	1.46165E-06	6.68607E-06	5.88765E-06	6.73437E-06	6.01471E-06	9.173E-08	5.3293E-07	2.839E-08	0	0	1.46165E-06
10	BBIP1	5.91921E-06	1.12885E-06	7.05083E-07	4.17149E-07	4.08527E-06	1.2656E-07	2.15002E-06	1.26075E-06	2.15303E-06	1.35476E-06	1.56512E-07	2.30347E-07	3.029E-08	0	0	1.2656E-07
10	BCCIP	1.80215E-05	5.37432E-06	1.54878E-06	8.90752E-07	1.10984E-05	4.28872E-07	7.27119E-06	5.32568E-06	7.27119E-06	5.32568E-06	3.0947E-07	5.26426E-07	5.4856E-08	0	0	4.28872E-07
10	BEND7	2.21244E-05	5.97621E-06	2.37634E-06	1.29248E-06	1.37718E-05	4.149E-08	8.331E-06	7.64897E-06	8.331E-06	7.64897E-06	3.84862E-07	8.67089E-07	4.053E-08	0	0	4.149E-08
10	BICC1	4.4946E-05	1.20517E-05	4.81339E-06	2.65074E-06	2.80808E-05	1.2608E-06	2.51398E-05	2.25211E-05	2.51398E-05	2.25236E-05	8.9978E-07	1.73013E-06	2.083E-08	0	0	1.2608E-06
10	BLNK	2.23429E-05	6.09795E-06	3.1645E-06	1.81378E-06	1.30804E-05	1.39626E-06	9.89876E-06	8.58184E-06	9.9001E-06	8.5844E-06	7.13078E-07	1.08058E-06	2.012E-08	0	0	1.39626E-06
10	BLOC1S2	7.92272E-06	2.24148E-06	1.0128E-06	6.12091E-07	4.66844E-06	1.0277E-07	3.87419E-06	3.39882E-06	3.87419E-06	3.39882E-06	2.6592E-07	3.20571E-07	2.56E-08	0	0	1.0277E-07
10	BMI1	1.27237E-05	2.90611E-06	1.78027E-06	1.01237E-06	8.03728E-06	1.25288E-06	6.89398E-06	5.84567E-06	6.89398E-06	5.84774E-06	3.7756E-07	6.14316E-07	2.0495E-08	0	0	1.25288E-06
10	BMPR1A	2.53745E-05	5.76082E-06	3.05804E-06	1.61965E-06	1.65557E-05	9.98435E-06	1.51998E-05	1.38328E-05	1.53207E-05	1.42484E-05	4.471E-07	1.15072E-06	2.183E-08	4.21784E-06	3.26119E-06	1.0941E-05
10	BMS1	5.69708E-05	1.42448E-05	6.43216E-06	3.40948E-06	3.62939E-05	7.36498E-07	2.88362E-05	2.62925E-05	2.88362E-05	2.62925E-05	9.7202E-07	2.41814E-06	1.932E-08	8.15925E-07	0	1.55242E-06
10	BNIP3	1.75822E-05	5.71598E-06	1.01791E-06	5.89171E-07	1.08483E-05	1.82249E-06	5.87333E-06	5.02725E-06	5.87333E-06	5.02725E-06	2.25436E-07	3.42988E-07	2.0747E-08	0	0	1.82249E-06
10	BORCS7	6.34535E-06	1.88783E-06	6.95442E-07	4.35852E-07	3.76208E-06	0	3.2646E-06	2.81947E-06	3.2646E-06	2.81947E-06	2.0056E-07	2.07672E-07	2.762E-08	0	0	0
10	BTAF1	7.49126E-05	1.80422E-05	9.62321E-06	5.20626E-06	4.72472E-05	2.35402E-05	4.07957E-05	3.51218E-05	4.0999E-05	3.60682E-05	1.65709E-06	3.53356E-06	1.561E-08	5.07094E-06	4.93729E-06	2.36739E-05
10	BTBD16	2.48241E-05	7.14798E-06	2.2973E-06	1.39229E-06	1.53788E-05	0	9.13814E-06	7.834E-06	9.13814E-06	7.834E-06	6.4842E-07	7.24007E-07	1.9865E-08	0	0	0
10	BTRC	2.86316E-05	6.64096E-06	4.79673E-06	2.48465E-06	1.7194E-05	2.45755E-06	1.60245E-05	1.44077E-05	1.60245E-05	1.44077E-05	6.1479E-07	1.84967E-06	2.019E-08	4.20311E-07	2.3909E-07	2.63877E-06
10	BUB3	1.78837E-05	4.91728E-06	2.0195E-06	1.15498E-06	1.09469E-05	4.31501E-06	1.01828E-05	9.05464E-06	1.01853E-05	9.07828E-06	4.2968E-07	6.91612E-07	3.3691E-08	1.923E-06	1.75912E-06	4.4789E-06
10	C10orf10	1.08412E-05	2.76569E-06	8.8293E-07	4.1538E-07	7.19257E-06	1.807E-08	4.17827E-06	3.48403E-06	4.17827E-06	3.48403E-06	2.015E-08	3.7404E-07	2.119E-08	0	0	1.807E-08
10	C10orf105	8.78118E-06	2.56482E-06	3.74738E-07	1.86067E-07	5.84162E-06	0	3.69707E-06	3.3006E-06	3.69707E-06	3.3006E-06	2.015E-08	1.50937E-07	1.498E-08	0	0	0
10	C10orf107	8.27493E-06	2.13032E-06	1.16294E-06	6.60095E-07	4.98167E-06	2.03843E-07	3.00723E-06	2.65781E-06	3.00723E-06	2.65781E-06	2.4429E-07	4.02279E-07	1.3526E-08	0	0	2.03843E-07
10	C10orf111	7.37113E-06	2.21311E-06	4.43399E-07	2.23275E-07	4.71462E-06	0	2.8069E-07	2.869E-08	2.8069E-07	2.869E-08	2.015E-08	1.76099E-07	2.7026E-08	0	0	0
10	C10orf113	6.72203E-06	1.50516E-06	4.72685E-07	2.54132E-07	4.74419E-06	0	1.78552E-06	7.9148E-07	1.78552E-06	7.9148E-07	4.593E-08	1.74842E-07	3.336E-08	0	0	0
10	C10orf120	1.55582E-05	3.47079E-06	1.99633E-06	9.44273E-07	1.00911E-05	8.299E-08	4.02866E-06	3.24863E-06	4.02866E-06	3.24863E-06	8.937E-08	8.41643E-07	1.326E-08	0	0	8.299E-08
10	C10orf126	7.90251E-06	2.27159E-06	8.22103E-07	4.54457E-07	4.80882E-06	0	2.10302E-07	3.7385E-08	2.10302E-07	3.7385E-08	1.3795E-07	2.94117E-07	2.239E-08	0	0	0
10	C10orf128	9.03382E-06	2.61066E-06	1.00306E-06	6.61218E-07	5.42011E-06	0	1.61428E-06	1.40404E-06	1.61428E-06	1.40404E-06	2.92412E-07	2.73473E-07	9.5333E-08	0	0	0
10	C10orf142	7.6966E-06	2.11574E-06	4.02051E-07	2.38917E-07	5.17881E-06	0	0	0	0	0	9.154E-08	1.30507E-07	1.687E-08	0	0	0
10	C10orf25	6.6798E-06	1.71971E-06	7.78697E-07	3.82321E-07	4.18139E-06	0	1.1217E-06	3.6089E-07	1.1217E-06	3.6089E-07	4.403E-08	3.17101E-07	2.119E-08	0	0	0
10	C10orf35	6.42479E-06	1.56404E-06	7.21661E-07	3.94655E-07	4.13908E-06	0	3.49024E-06	3.30007E-06	3.49024E-06	3.30007E-06	1.1088E-07	2.61605E-07	2.217E-08	0	0	0
10	C10orf53	7.85972E-06	2.35284E-06	5.51379E-07	3.29571E-07	4.9555E-06	1.7212E-07	2.80543E-06	2.26561E-06	2.80543E-06	2.29235E-06	1.1209E-07	1.77446E-07	4.0035E-08	0	0	1.7212E-07
10	C10orf55	6.98386E-06	1.64335E-06	5.15067E-07	2.76252E-07	4.82544E-06	6.523E-08	2.28201E-06	1.13093E-06	2.28201E-06	1.13093E-06	6.679E-08	1.91052E-07	1.841E-08	0	0	6.523E-08
10	C10orf62	1.02385E-05	2.90287E-06	5.3033E-07	2.47539E-07	6.80535E-06	0	4.01524E-06	3.3813E-06	4.01524E-06	3.3813E-06	0	2.26233E-07	2.1306E-08	0	0	0
10	C10orf67	1.10194E-05	2.6221E-06	1.31799E-06	7.47034E-07	7.07931E-06	0	3.70756E-06	2.85318E-06	3.70756E-06	2.85318E-06	2.49252E-07	4.56766E-07	4.1016E-08	0	0	0
10	C10orf71	6.94289E-05	2.11982E-05	4.03092E-06	1.80097E-06	4.41998E-05	1.8495E-07	2.16829E-05	1.87364E-05	2.16829E-05	1.87364E-05	0	1.78396E-06	1.7015E-08	0	0	1.8495E-07
10	C10orf76	2.92175E-05	7.08351E-06	3.17576E-06	2.10571E-06	1.89583E-05	1.62558E-06	1.74585E-05	1.55365E-05	1.74585E-05	1.55365E-05	1.23125E-06	8.56046E-07	1.841E-08	0	0	1.62558E-06
10	C10orf82	1.06279E-05	3.23562E-06	7.9681E-07	4.86642E-07	6.59551E-06	3.181E-08	3.01583E-06	2.41561E-06	3.01583E-06	2.41561E-06	1.97962E-07	2.48134E-07	4.0546E-08	0	0	3.181E-08
10	C10orf88	1.89715E-05	5.36825E-06	1.44672E-06	7.83496E-07	1.21565E-05	1.5771E-07	6.70275E-06	5.63946E-06	6.70275E-06	5.63946E-06	2.33114E-07	5.30582E-07	1.98E-08	0	0	1.5771E-07
10	C10orf90	4.07654E-05	1.12654E-05	3.2821E-06	1.72634E-06	2.6218E-05	1.908E-08	1.35071E-05	1.16913E-05	1.35071E-05	1.16913E-05	4.52296E-07	1.24461E-06	2.944E-08	0	0	1.908E-08
10	C10orf91	8.6201E-06	2.7516E-06	5.24576E-07	2.9332E-07	5.34393E-06	0	1.73502E-06	2.9294E-07	1.73502E-06	2.9294E-07	9.011E-08	1.85005E-07	1.8205E-08	0	0	0
10	C10orf95	2.79956E-05	8.86179E-06	1.23463E-06	5.83075E-07	1.78992E-05	0	1.16232E-05	7.08571E-06	1.16232E-05	7.08571E-06	4.342E-08	5.21245E-07	1.841E-08	8.81502E-06	0	8.81502E-06
